algorithm,constructionTime,searchTime,recall,avgDistance,Mparam,efParams,constructionClocks,searchClocks,memoryConsumptions
HNSW-M-2,429.6209322750001,1.7689236950000122,0.297596,254.61209106445312,2,100,429.62106700000004,1.769058999999288,0.5200000000000005
HNSW-M-2,429.6209322750001,1.9462649460001558,0.3249,252.6179962158203,2,120,429.62106700000004,1.946327000000565,0.5200000000000005
HNSW-M-2,429.6209322750001,2.205389326999466,0.348508,251.23033142089844,2,140,429.62106700000004,2.2054219999999987,0.5200000000000005
HNSW-M-2,429.6209322750001,2.4209292859995912,0.369311,250.0847930908203,2,160,429.62106700000004,2.4209979999995994,0.5200000000000005
HNSW-M-2,429.6209322750001,2.642322236999462,0.387535,249.13967895507812,2,180,429.62106700000004,2.6423809999996593,0.5200000000000005
HNSW-M-2,429.6209322750001,2.8208768320000672,0.403858,248.34854125976562,2,200,429.62106700000004,2.8209420000002865,0.5200000000000005
HNSW-M-6,763.2704206039998,3.3013843490007275,0.766677,238.06065368652344,6,100,763.2704789999998,3.3014410000005228,0.5499999999999998
HNSW-M-6,763.2704206039998,3.7591592590006258,0.800262,237.5718536376953,6,120,763.2704789999998,3.7591929999998683,0.5499999999999998
HNSW-M-6,763.2704206039998,4.218889978999869,0.826365,237.2412872314453,6,140,763.2704789999998,4.218946000000869,0.5499999999999998
HNSW-M-6,763.2704206039998,4.7189945919999445,0.846816,237.00047302246094,6,160,763.2704789999998,4.719048999999359,0.5499999999999998
HNSW-M-6,763.2704206039998,5.2252550980001615,0.863803,236.8095703125,6,180,763.2704789999998,5.225290999999743,0.5499999999999998
HNSW-M-6,763.2704206039998,5.727681733000281,0.877661,236.66259765625,6,200,763.2704789999998,5.727738999999929,0.5499999999999998
HNSW-M-12,1280.1433339130008,5.442053753999971,0.902232,236.33961486816406,12,100,1280.1433900000002,5.442110999999386,0.6499999999999995
HNSW-M-12,1280.1433339130008,6.163577432000238,0.923928,236.15277099609375,12,120,1280.1433900000002,6.163604999999734,0.6499999999999995
HNSW-M-12,1280.1433339130008,6.955827620000491,0.939091,236.0315399169922,12,140,1280.1433900000002,6.9558539999998175,0.6499999999999995
HNSW-M-12,1280.1433339130008,7.937716639999962,0.95036,235.9457550048828,12,160,1280.1433900000002,7.937770000000455,0.6499999999999995
HNSW-M-12,1280.1433339130008,9.365227814999344,0.958852,235.88487243652344,12,180,1280.1433900000002,9.365260999999919,0.6499999999999995
HNSW-M-12,1280.1433339130008,9.579937122000047,0.965458,235.8392333984375,12,200,1280.1433900000002,9.579991999999947,0.6499999999999995
HNSW-M-20,1957.1393177280006,8.18789327400009,0.952889,235.91510009765625,20,100,1957.1393599999992,8.187922000000981,0.8000000000000007
HNSW-M-20,1957.1393177280006,9.018433218998325,0.965605,235.8277587890625,20,120,1957.1393599999992,9.018491999999242,0.8000000000000007
HNSW-M-20,1957.1393177280006,10.222465976999956,0.974275,235.77210998535156,20,140,1957.1393599999992,10.2224959999985,0.8000000000000007
HNSW-M-20,1957.1393177280006,11.318162371999279,0.980134,235.735595703125,20,160,1957.1393599999992,11.31821200000013,0.8000000000000007
HNSW-M-20,1957.1393177280006,12.453255754000566,0.984263,235.71119689941406,20,180,1957.1393599999992,12.45331299999998,0.8000000000000007
HNSW-M-20,1957.1393177280006,13.37951202000113,0.987377,235.69345092773438,20,200,1957.1393599999992,13.379569999999148,0.8000000000000007
