	MMAXparam	algorithm	avgDistance	constructionClocks	constructionTime	dgraphParam	recall	searchClocks	searchTime
0	2	HNSW-M-2	484.9365234375	0.5243886999996903	1.796875	0	0.078	0.019306799999867508	0.03125
1	4	HNSW-M-4	325.06695556640625	0.6976871999995637	2.640625	0	0.4135	0.004561000000649074	0.0
2	6	HNSW-M-6	313.0574645996094	0.7838633000001209	3.078125	0	0.5474	0.004868200000601064	0.0
3	8	HNSW-M-8	307.3699951171875	0.9244594000001598	3.578125	0	0.6348	0.00554069999998319	0.0
4	10	HNSW-M-10	304.67266845703125	0.953719999999521	3.734375	0	0.6969	0.006906900000103633	0.03125
5	12	HNSW-M-12	305.2649841308594	0.9794210000000021	3.84375	0	0.7145	0.006963699999687378	0.0
6	2	HNSW-M-2	325.6586608886719	0.6619665000007444	2.578125	1	0.2856	0.0035337999997864245	0.0
7	4	HNSW-M-4	313.0469970703125	1.0349232999997184	3.953125	1	0.5168	0.0047335999997812905	0.0
8	6	HNSW-M-6	307.3804626464844	1.622858200000337	4.9375	1	0.6212	0.006701399999656132	0.0
9	8	HNSW-M-8	305.663818359375	1.5287985000004483	5.515625	1	0.6856	0.006995100000494858	0.0
10	10	HNSW-M-10	303.1982421875	1.5195318999994925	5.96875	1	0.7424	0.006729000000632368	0.0
11	12	HNSW-M-12	302.0902099609375	1.6823567999999796	6.65625	1	0.7904	0.005952399999841873	0.03125
12	2	HNSW-M-2	323.2524108886719	0.6386290000000372	2.46875	2	0.2809	0.004120900000089023	0.0
13	4	HNSW-M-4	313.0472412109375	0.9073513999992429	3.546875	2	0.5072	0.004641800000172225	0.03125
14	6	HNSW-M-6	308.5564270019531	1.0312015999998039	4.0625	2	0.6083	0.005438099999992119	0.0
15	8	HNSW-M-8	306.27557373046875	1.1205965999997716	4.390625	2	0.6541	0.005798600000161969	0.03125
16	10	HNSW-M-10	305.10931396484375	1.206060499999694	4.734375	2	0.6888	0.0076940999997532344	0.0
17	12	HNSW-M-12	303.9136047363281	1.238904700000603	4.890625	2	0.7225	0.006179099999826576	0.015625
18	2	HNSW-M-2	324.75921630859375	1.4699577000001227	5.84375	3	0.3064	0.003235600000152772	0.0
19	4	HNSW-M-4	313.5953674316406	2.7389975000005506	10.84375	3	0.5105	0.004370600000584091	0.015625
20	6	HNSW-M-6	309.65411376953125	4.381128699999863	15.71875	3	0.5965	0.007313600000088627	0.03125
21	8	HNSW-M-8	306.5986022949219	6.60257989999991	19.40625	3	0.6526	0.0092449999992823	0.03125
22	10	HNSW-M-10	305.056396484375	6.468472400000792	21.546875	3	0.6899	0.007658599999558646	0.0
23	12	HNSW-M-12	303.9153747558594	7.1055093999993915	23.125	3	0.7252	0.00748349999958009	0.015625
