algorithm,constructionTime,searchTime,recall,tables,ks,constructionClocks,searchClocks,probes
lsh-l10k3t10,43.07462183000098,184.11482037399946,0.729287,10,3,43.074781999999686,184.11496699999952,10
lsh-l10k3t12,43.07462183000098,204.51101017200017,0.763359,10,3,43.074781999999686,204.51105100000132,12
lsh-l10k3t14,43.07462183000098,223.342035484,0.78983,10,3,43.074781999999686,223.34207699999934,14
lsh-l10k4t10,93.18469615200047,40.814130025999475,0.448885,10,4,93.18474100000094,40.81416999999965,10
lsh-l10k4t12,93.18469615200047,47.53566379299991,0.480346,10,4,93.18474100000094,47.53570000000036,12
lsh-l10k4t14,93.18469615200047,51.42278256100144,0.507595,10,4,93.18474100000094,51.42281600000024,14
lsh-l15k3t15,62.9356817959997,234.52915073500117,0.828945,15,3,62.935708999999406,234.52919699999984,15
lsh-l15k3t18,62.9356817959997,261.1724688310005,0.856175,15,3,62.935708999999406,261.1725029999998,18
lsh-l15k3t21,62.9356817959997,285.08727829300005,0.877276,15,3,62.935708999999406,285.087316000001,21
lsh-l15k4t15,137.96084545699887,51.77619823100031,0.545379,15,4,137.960873,51.77623500000118,15
lsh-l15k4t18,137.96084545699887,59.49570293400029,0.577514,15,4,137.960873,59.49574399999983,18
lsh-l15k4t21,137.96084545699887,65.28960184599964,0.605116,15,4,137.960873,65.28963499999918,21
lsh-l20k3t20,86.25026368600084,283.86619679199976,0.890591,20,3,86.25029200000063,283.8662380000005,20
lsh-l20k3t24,86.25026368600084,315.24908693399993,0.911617,20,3,86.25029200000063,315.2491250000003,24
lsh-l20k3t28,86.25026368600084,341.67908951000027,0.927053,20,3,86.25029200000063,341.67913099999896,28
lsh-l20k4t20,186.5634696900015,64.62577265499931,0.62469,20,4,186.56349500000033,64.62580699999853,20
lsh-l20k4t24,186.5634696900015,74.25128696600041,0.656743,20,4,186.56349500000033,74.25132600000143,24
lsh-l20k4t28,186.5634696900015,80.87053902200023,0.683375,20,4,186.56349500000033,80.87057199999981,28
