	algorithm	constructionTime	searchTime	recall	avgDistance	constructionClocks	searchClocks
0	Annoy-trees-5	35.93	1.7853	0.2835	254.7	35.92534900000001	1.7854169999999954
1	Annoy-trees-15	62.39	4.0106	0.5221	243.33	62.38934599999999	4.010643999999985
2	Annoy-trees-30	102.71	7.0456	0.6841	239.47	102.71383899999998	7.045667999999977
3	Annoy-trees-60	185.83	11.5536	0.8158	237.4	185.83363100000003	11.553588999999988
4	Annoy-trees-80	244.18	14.5923	0.8574	236.89	244.179166	14.59230500000001
5	HNSW-M-5	633.89	1.1619	0.3629	251.36	633.889681	1.1621399999999085
6	HNSW-M-8	856.31	1.4383	0.4822	244.77	856.3124820000003	1.4382970000001478
7	HNSW-M-15	1347.66	2.0843	0.6244	240.4	1347.6650290000002	2.084359999999833
8	HNSW-M-30	2519.09	3.1523	0.7668	237.86	2519.088794	3.1523299999998926
9	HNSW-M-38	3269.57	3.627	0.8064	237.35	3269.5674119999994	3.627011000000493
10	vp-Tree-10k-mL2	17.5	15.7579	0.3673	252.0	17.503303000001324	15.757993999999599
11	vp-Tree-10k-mL10	17.5	76.9463	0.6541	241.96	17.503303000001324	76.94629600000006
12	vp-Tree-10k-mL20	17.5	151.8395	0.8051	238.83	17.503303000001324	151.83950500000176
13	vp-Tree-10k-mL25	17.5	189.0328	0.8444	238.17	17.503303000001324	189.032878
14	vp-Tree-10k-mL30	17.5	225.437	0.8681	237.83	17.503303000001324	225.43699800000104
15	linear force	0.09	515.1839	0.9999	235.63	0.09522300000026007	515.1841760000007
16	k-D	30.08	4317.1864	0.9999	235.63	30.08259800000087	4347.269374
17	autotuned-flann-build005	463.1	1.4064	0.1831	277.67	463.1032439999981	1.4064950000029055
18	autotuned-flann-build005	445.64	1.3903	0.1811	278.17	445.64207499999975	1.3903590000008992
19	autotuned-flann-build005	454.99	2.6843	0.246	260.7	454.98791599999817	2.6843150000022438
20	autotuned-flann-build005	753.91	6.0138	0.4294	246.94	753.9071180000027	6.01382399999784
21	lsh-l15k4t15	132.35	44.8974	0.5454	0.0	132.35552400000006	44.897551999999905
22	lsh-l15k4t30	132.35	68.6406	0.6679	0.0	132.35552400000006	68.64063100000021
23	lsh-l15k4t45	132.35	86.9347	0.7362	0.0	132.35552400000006	86.93478600000027
24	lsh-l15k4t75	132.35	114.1396	0.8125	0.0	132.35552400000006	114.13962100000026
