	algorithm	avgDistance	constructionTime	recall	searchTime
0	vp-Tree-10k-mL2	252.1202392578125	28.609375	0.36164	17.609375
1	vp-Tree-10k-mL10	241.77967834472656	28.609375	0.667019	84.03125
2	vp-Tree-10k-mL15	240.57691955566406	28.609375	0.729491	129.203125
3	vp-Tree-10k-mL20	238.7349853515625	28.609375	0.813053	165.515625
4	vp-Tree-10k-mL25	238.1019287109375	28.609375	0.85025	206.5625
5	HNSW-M-2	297.8057556152344	449.25	0.059966	0.953125
6	HNSW-M-5	277.8316345214844	889.03125	0.263078	1.875
7	HNSW-M-8	251.48110961914062	1193.03125	0.39816	1.953125
8	HNSW-M-15	241.91842651367188	1821.671875	0.578178	2.265625
9	HNSW-M-30	238.4685516357422	3170.078125	0.734157	2.5625
10	Annoy-trees-5	254.74766388769532	58.859375	0.282947	2.9375
11	Annoy-trees-15	243.27052499092483	110.109375	0.524623	6.59375
12	Annoy-trees-30	239.43878964619827	191.078125	0.685665	11.3125
13	Annoy-trees-45	238.06319372212218	267.171875	0.768016	15.40625
14	Annoy-trees-60	237.3798568608017	347.46875	0.817185	19.984375
15	Annoy-trees-80	236.87758096266174	448.40625	0.85857	25.4375
16	mrpt-0.4mt30	249.1814422607422	146.765625	0.396564	196.78125
17	mrpt-0.65mt100	240.3482208251953	298.421875	0.636923	214.734375
18	mrpt-0.8mt300	237.92579650878906	770.875	0.77823	211.125
19	mrpt-0.9mt500	236.174560546875	1215.484375	0.922704	3265.8125
20	kdtree-flann	298.3576862081638	173.328125	0.10303	4.390625
21	kdtree-flann	298.2573788266529	173.078125	0.103661	4.390625
22	kdtree-flann	276.81655252224147	190.71875	0.138884	4.875
23	kmeans-flann	247.2009798401382	296.859375	0.422514	9.5625
